"ID"|"n_species"|"n_ecosystems"|"autoconsumption"|"n_preparations"|"n_Agr_pract"|"region"|"headsex"|"elcsa_cat"|"edu"|"assistance"|"nonaginc"|"hhsize"|"headage"|"numchildren"|"age"|"num_emp"|"area"|"ch"|"ced"|"l_fields"|"m_fields"|"cd_field"|"cd_garden"|"cd_tree"|"cd_gardentree"|"clust"
"1166"|3|5|3|3|1|"Huánuco-Quisqui"|FALSE|"1"|"1"|FALSE|TRUE|5|40|1|34|2|0.0625|70|27.9|1|1|3|3|0|3|"1"
"1170"|6|2|6|3|1|"Huánuco-Quisqui"|FALSE|"1"|"0"|FALSE|FALSE|4|39|0|37|2|1|2025|186|1|1|3|0|1|1|"2"
"1171"|3|2|3|1|2|"Huánuco-Quisqui"|TRUE|"1"|"3"|TRUE|FALSE|4|25|1|25|2|3.7355001|2860|204.60001|5|4|3|7|4|11|"3"
"1172"|10|3|10|3|2|"Huánuco-Quisqui"|FALSE|"2"|"0"|FALSE|TRUE|5|48|0|46|2|0|0|0|1|1|0|7|0|7|"2"
"1175"|7|4|7|2|1|"Huánuco-Quisqui"|FALSE|"0"|"1"|FALSE|FALSE|3|49|0|48|2|3.0599999|3500|930|2|2|1|6|1|7|"2"
"1176"|1|1|1|1|1|"Huánuco-Quisqui"|FALSE|"1"|"3"|FALSE|FALSE|3|27|1|26|2|0.58840001|3000|188.325|2|2|1|0|1|1|"2"
"1178"|1|1|1|2|1|"Huánuco-Quisqui"|FALSE|"2"|"3"|FALSE|FALSE|4|30|0|19|1|0.58840001|345|2.325|2|1|3|4|1|5|"2"
"1179"|5|1|5|1|2|"Huánuco-Quisqui"|FALSE|"0"|"3"|FALSE|FALSE|5|40|0|40|1|1.4413|2760|706.79999|2|2|4|0|1|1|"2"
"1183"|5|1|5|1|1|"Huánuco-Quisqui"|TRUE|"1"|"1"|TRUE|FALSE|4|33|0|33|1|0.2942|1500|248|1|1|1|3|0|3|"3"
"1185"|5|2|5|2|1|"Huánuco-Quisqui"|FALSE|"1"|"1"|FALSE|FALSE|4|53|0|45|1|1.7652|255|0|2|2|4|14|2|16|"2"
"1201"|5|2|5|2|1|"Huánuco-Quisqui"|FALSE|"2"|"1"|FALSE|FALSE|7|44|1|41|1|0.88260001|1225|496|1|1|4|14|1|15|"2"
"1203"|4|1|4|2|1|"Huánuco-Quisqui"|FALSE|"2"|"0"|FALSE|FALSE|5|53|0|44|1|2.3536|200|0|3|2|1|6|0|8|"2"
"1206"|3|4|3|2|1|"Huánuco-Quisqui"|FALSE|"1"|"2"|FALSE|TRUE|5|66|0|47|1|0.5|235|0|1|1|3|0|1|1|"2"
"1207"|4|2|4|1|1|"Huánuco-Quisqui"|FALSE|"2"|"2"|FALSE|FALSE|4|25|2|22|1|0.88260001|2435|465|3|3|4|6|0|6|"3"
"1209"|9|3|9|3|2|"Huánuco-Quisqui"|FALSE|"1"|"1"|FALSE|TRUE|5|40|0|37|3|0.4413|480|12.4|2|2|2|10|1|17|"2"
"1210"|7|2|7|2|1|"Huánuco-Quisqui"|FALSE|"1"|"1"|FALSE|FALSE|8|54|2|48|1|1.07355|2260|174.375|2|2|4|6|3|10|"2"
"1211"|5|2|5|3|1|"Huánuco-Quisqui"|FALSE|"0"|"1"|FALSE|FALSE|4|27|0|24|2|2.2941999|3970|465|2|2|3|6|0|6|"2"
"1214"|4|3|4|2|1|"Huánuco-Quisqui"|FALSE|"1"|"1"|TRUE|FALSE|5|47|0|45|4|0.5442|2470|93|3|3|3|10|0|10|"2"
"1218"|3|3|3|4|1|"Huánuco-Quisqui"|TRUE|"1"|"1"|FALSE|FALSE|5|37|2|37|1|0.2942|200|31|1|1|1|4|0|4|"3"
"1219"|4|5|4|1|1|"Huánuco-Quisqui"|FALSE|"2"|"3"|FALSE|FALSE|9|52|0|28|1|0.75|2250|104.625|2|1|1|0|2|2|"2"
"1221"|1|3|1|1|1|"Huánuco-Quisqui"|FALSE|"0"|"4"|FALSE|TRUE|3|29|1|23|2|0.125|4500|581.25|1|1|1|0|0|0|"1"
"1223"|3|5|3|5|1|"Huánuco-Quisqui"|FALSE|"1"|"3"|FALSE|FALSE|5|58|1|19|1|2.2941999|9175|678.90002|3|3|3|5|1|6|"3"
"1224"|2|2|2|3|1|"Huánuco-Quisqui"|FALSE|"1"|"1"|TRUE|FALSE|5|40|1|38|1|0.58840001|3400|279.00003|2|1|1|7|2|9|"2"
"1227"|3|1|3|3|1|"Huánuco-Quisqui"|TRUE|"2"|"4"|FALSE|FALSE|9|33|1|25|3|6.5|45000|11160|2|2|1|0|0|0|"3"
"1229"|5|2|5|3|1|"Huánuco-Quisqui"|FALSE|"2"|"1"|FALSE|FALSE|4|60|0|44|1|2.1471|9000|2325|3|3|1|0|0|0|"2"
"1235"|4|3|4|3|1|"Huánuco-Quisqui"|FALSE|"1"|"1"|FALSE|FALSE|4|48|0|44|1|1|242|0|1|1|2|0|0|0|"2"
"1238"|2|2|2|2|1|"Huánuco-Quisqui"|FALSE|"1"|"1"|FALSE|FALSE|4|40|0|43|1|0.2942|560|89.900002|2|2|2|5|0|5|"2"
