region,n_species,n_ecosystems,Sell,autoconsumption,O_uses,n_preparations,n_Agr_pract,headsex,elcsa_cat,edu,assistance,nonaginc,hhsize,headage,numchildren,age,num_emp,area,ch,ced,l_fields,m_fields,cd_field,cd_garden,cd_tree,cd_gardentree
1660,Molino-Umari,4,2,0,4,0,2,1,1,3,1,0,1,5,61,0,39,3,1,26,0,1,1,3,3,4,7
1661,Molino-Umari,2,3,0,2,0,1,5,0,1,3,0,0,2,26,0,25,1,1.2941999,1281.5601,0,2,2,4,0,0,0
1667,Molino-Umari,6,2,0,6,0,3,1,1,1,1,0,0,5,28,1,28,2,1.1768,15000,1674,1,1,1,7,2,9
1684,Molino-Umari,1,1,0,1,0,1,1,1,3,1,0,0,4,33,1,33,1,0.2942,0,0,1,1,0,3,0,3
1687,Molino-Umari,2,2,0,2,0,1,1,0,1,0,0,0,6,46,0,40,2,1.125,362,0,2,2,3,0,6,6
1688,Molino-Umari,2,2,0,2,0,1,1,1,1,0,0,1,3,40,0,40,3,0.125,344,0,1,1,4,0,5,5
1690,Molino-Umari,1,1,0,1,0,1,1,1,2,1,0,1,6,62,1,34,1,0.25,160,0,1,1,2,6,7,13
1694,Molino-Umari,3,2,0,3,0,1,1,0,2,1,0,0,4,32,1,28,1,0.2942,3155,0,1,1,3,7,3,10
1695,Molino-Umari,2,2,1,1,0,1,1,0,2,0,0,1,3,73,0,46,1,0.125,0,0,1,1,0,7,2,9
1696,Molino-Umari,9,2,0,9,0,3,1,0,3,2,0,1,4,25,2,20,2,2.3536,10830,2812.3201,3,2,3,0,2,2
1697,Molino-Umari,4,5,0,4,0,3,1,0,1,3,0,0,3,26,0,26,1,0.58840001,2142,279,3,3,5,9,6,15
1700,Molino-Umari,4,3,0,4,0,3,1,1,1,1,1,1,6,78,1,44,2,1.1768,1303,0,2,2,6,11,5,18
1701,Molino-Umari,6,2,0,6,0,3,6,0,1,1,0,0,5,50,0,48,1,1.471,7731,372,2,2,5,9,5,14
1702,Molino-Umari,7,2,0,7,0,2,6,0,1,0,0,0,4,29,1,30,1,1.0297,13500,2232,3,2,1,6,6,12
1703,Molino-Umari,1,2,0,1,0,1,1,0,1,1,0,0,5,26,2,24,1,0.73549998,325,0,3,3,2,7,9,16
1705,Molino-Umari,2,1,0,2,0,1,1,0,0,1,0,0,9,60,2,20,3,1.1768,7425,1046.25,2,2,1,4,0,4
1706,Molino-Umari,3,3,0,3,0,3,1,1,2,1,0,0,4,34,1,34,1,0.2942,1500,69.750008,2,2,1,7,5,12
1707,Molino-Umari,2,1,1,1,0,1,4,1,1,1,0,0,3,26,0,26,2,0.88260001,4875,581.25,2,2,1,0,1,1
1710,Molino-Umari,3,2,0,3,0,1,1,0,1,1,0,0,4,56,0,45,2,0.2942,3000,0,1,1,3,0,4,4
1711,Molino-Umari,3,3,0,3,0,1,1,0,1,1,0,1,4,31,0,26,2,0.75,6375,651,2,2,2,3,2,5
1712,Molino-Umari,4,2,0,4,0,4,7,1,3,1,1,0,4,41,1,41,1,0.58840001,1028.3999,0,1,1,4,5,2,7
1716,Molino-Umari,3,1,0,3,0,3,1,0,2,0,0,1,7,45,3,41,2,1.1768,704,0,2,2,3,4,0,4
1718,Molino-Umari,6,3,0,6,0,3,3,0,1,3,1,1,6,61,1,24,2,0.875,200,0,3,3,1,9,2,13
1719,Molino-Umari,5,1,0,5,0,1,7,1,1,0,0,0,7,42,0,42,1,5.5883999,9175,662.625,2,1,2,0,0,0
1721,Molino-Umari,2,3,0,2,0,1,1,0,2,1,0,0,6,47,1,27,1,0.1471,4500,348.75,1,1,1,0,3,3
1722,Molino-Umari,2,1,0,2,0,1,1,0,1,1,1,0,5,54,0,24,1,1.2941999,2410,232.5,2,2,3,12,3,16
1723,Molino-Umari,3,2,0,3,0,3,1,0,2,1,0,0,4,30,1,28,1,0.4413,422,0,2,2,3,0,3,3
1724,Molino-Umari,2,1,0,2,0,1,1,0,1,1,0,0,5,30,1,26,1,0.125,482,0,1,1,3,0,1,1
1727,Molino-Umari,1,1,0,1,0,1,1,0,1,1,0,0,6,56,0,45,2,0.88260001,2685,34.875004,2,2,5,15,5,20
1728,Molino-Umari,4,2,0,4,0,3,1,1,2,0,0,0,4,40,0,40,1,1.471,13450,558.00006,2,2,5,4,4,10
1733,Molino-Umari,6,2,0,6,0,2,1,0,1,2,0,0,2,28,0,31,1,2.9419999,24750,2418,3,3,1,4,4,8
1734,Molino-Umari,3,2,0,3,0,1,1,0,0,1,0,1,6,56,1,42,2,1.3239,12645,697.5,2,2,4,1,4,5
1736,Molino-Umari,1,1,0,1,0,1,1,1,1,1,1,0,2,40,0,40,1,0,0,0,1,1,0,10,3,13
1738,Molino-Umari,3,1,0,3,0,1,1,0,0,3,0,0,4,29,1,28,2,0.2942,1350,0,1,1,3,0,0,0
1740,Molino-Umari,4,3,0,4,0,4,1,0,1,1,0,0,3,26,1,23,1,2.0297,22723.6,2202.9375,4,4,6,8,3,11
1743,Molino-Umari,1,1,0,1,0,2,1,0,1,1,0,0,6,23,2,21,1,0.58840001,3925,403,3,3,4,4,2,6
1746,Molino-Umari,2,2,0,2,0,3,1,0,2,1,0,1,6,47,0,47,2,0.88260001,5595,427.79999,3,3,4,7,3,10
1747,Molino-Umari,7,2,0,7,0,3,1,0,1,1,0,0,8,53,1,46,1,4,19650,2022.75,2,2,3,5,5,14
1749,Molino-Umari,3,2,0,3,0,1,1,0,1,4,0,0,3,24,1,24,1,1.7652,8550,4770.8999,1,1,1,0,1,1
1750,Molino-Umari,1,2,0,1,0,1,2,0,2,2,0,0,8,28,1,26,2,0.58840001,525,0,1,1,2,5,2,7
1752,Molino-Umari,4,5,0,4,0,3,3,0,1,1,0,0,5,34,1,35,1,0.73549998,3765,209.25,3,3,4,5,1,6
1756,Molino-Umari,2,2,0,2,0,1,1,0,1,2,0,1,3,34,1,27,2,1.1768,24300,2487.75,3,3,2,3,0,3
1757,Molino-Umari,5,1,0,5,0,4,5,0,1,0,0,0,5,54,0,47,1,1.1768,1120,0,2,2,4,9,3,12
1759,Molino-Umari,7,3,0,7,0,3,6,0,1,0,0,0,5,38,0,45,1,0.88260001,2036.9,209.25,2,2,5,8,1,9
1760,Molino-Umari,6,3,0,6,0,2,8,1,1,2,0,0,4,38,1,38,1,0.2942,263.10001,0,1,1,3,6,1,7
1761,Molino-Umari,1,1,0,1,0,1,1,1,1,1,0,0,5,38,0,38,3,1.1768,3365,232.5,2,2,4,5,9,14
1762,Molino-Umari,2,2,0,2,0,1,1,0,1,2,0,0,5,36,1,30,1,0.2942,750,0,1,1,2,4,0,4
1763,Molino-Umari,2,1,0,2,0,3,1,0,1,1,0,0,4,32,1,29,1,0.2942,500,155,1,1,1,2,0,2
1765,Molino-Umari,2,1,0,2,0,1,1,0,1,1,1,1,4,31,1,28,3,0.5442,6875,770.34998,3,3,3,0,0,0
1768,Molino-Umari,4,2,0,4,0,1,3,0,1,1,0,1,4,36,0,24,2,2.5,3000,1208.9999,2,2,2,3,0,3
1771,Molino-Umari,4,2,1,4,0,2,1,0,1,1,0,1,3,52,0,46,2,1,3000,1208.9999,1,1,1,2,1,5
1774,Molino-Umari,1,1,0,1,0,1,1,1,1,2,1,1,4,67,1,42,3,0.58840001,0,0,1,1,0,8,1,9
1776,Molino-Umari,2,1,0,2,0,1,1,0,0,1,0,1,2,37,0,37,2,0.58840001,660,0,1,1,2,0,0,0
1778,Molino-Umari,2,3,0,2,0,1,1,0,2,0,0,0,6,50,0,43,1,1.1768,2250,0,1,1,1,9,5,14
1779,Molino-Umari,2,2,0,2,0,2,1,1,2,1,0,0,3,30,1,30,1,0.2942,900,0,1,1,3,0,0,0
1780,Molino-Umari,2,2,0,2,0,1,1,0,0,1,0,0,6,37,1,39,1,2,2600,418.5,2,2,2,9,4,13
1781,Molino-Umari,3,2,0,3,0,3,1,0,1,1,0,1,5,40,1,36,2,0.58840001,0,0,1,1,0,3,2,5
1783,Molino-Umari,4,1,0,4,0,1,1,0,1,1,0,0,5,30,1,28,2,0.2942,6075,279,1,1,1,0,0,0
1786,Molino-Umari,9,2,0,9,0,2,2,0,2,1,0,0,6,52,1,44,2,1.471,5584,279,2,2,7,5,2,7
1787,Molino-Umari,8,2,0,8,0,3,1,0,0,1,0,0,5,36,0,35,1,0.88260001,5625,930,1,1,1,10,5,16
1788,Molino-Umari,7,2,0,7,0,3,1,1,3,0,0,0,7,44,1,44,1,1.1768,545.59998,0,3,2,2,8,1,9
1794,Molino-Umari,1,2,0,1,0,1,1,0,1,1,0,0,10,64,0,36,2,1.3239,1300,0,3,2,1,0,4,4
1795,Molino-Umari,3,1,0,3,0,1,4,0,2,0,0,0,4,28,0,27,1,1.75,2950,223.2,3,2,2,0,3,3
1799,Molino-Umari,8,2,0,8,0,3,6,0,2,0,0,0,5,42,0,41,1,1.5,2925,186,1,1,3,7,6,15
1800,Molino-Umari,5,3,0,5,0,2,1,0,1,1,0,0,5,35,1,35,2,1.1768,7900,2170,3,3,1,0,6,6
1803,Molino-Umari,5,7,0,5,0,3,1,1,1,1,0,0,4,48,1,48,1,0.58840001,73,0,2,2,3,4,5,11
1805,Molino-Umari,5,2,0,5,0,1,1,0,2,1,1,0,6,27,2,25,1,0.2942,1400,0,1,1,2,0,0,0
1806,Molino-Umari,1,1,0,1,0,1,1,0,1,1,0,0,6,51,0,42,1,1.625,13175,1503.5,4,4,5,0,5,5
1807,Molino-Umari,8,4,1,8,0,3,5,0,2,1,0,0,5,52,0,38,1,3.5304499,27650,2511,4,3,3,7,4,13
1808,Molino-Umari,9,2,0,9,0,3,1,0,1,0,0,0,6,35,2,33,1,2.0594001,10500,2511,3,3,1,7,0,7
1811,Molino-Umari,7,5,0,7,0,2,4,0,2,1,0,0,6,32,1,28,1,1.75,12750,1674,3,3,1,10,0,10
1815,Molino-Umari,9,2,0,9,0,3,1,0,2,1,0,0,4,24,2,24,1,2.3536,0,0,4,4,0,7,0,7
1816,Molino-Umari,2,2,0,2,0,1,1,0,1,1,0,0,4,23,1,28,1,7.1767998,3750,744,3,3,1,3,0,3
1817,Molino-Umari,4,1,0,4,0,1,1,0,1,1,0,1,6,32,0,28,2,2.2941999,2250,1046.25,2,1,1,0,0,0
1818,Molino-Umari,5,2,0,5,0,1,1,0,2,1,0,0,6,31,1,30,1,0.88260001,12225,2650.5,3,3,1,4,0,4
1819,Molino-Umari,5,1,0,5,0,1,1,0,1,1,0,0,4,25,2,26,1,1,0,0,1,1,0,8,0,8
1820,Molino-Umari,6,2,0,6,0,2,1,0,2,1,0,0,5,33,0,30,1,0.88260001,0,0,2,1,0,2,0,2
1822,Molino-Umari,3,4,0,3,0,1,1,0,1,2,0,0,4,30,1,24,1,16,37500,4650,3,2,1,4,0,4
1825,Molino-Umari,1,1,0,1,0,2,1,0,1,0,1,0,5,29,2,24,1,48,1780,244.125,1,1,3,0,0,0
1827,Molino-Umari,4,2,0,4,0,1,2,0,1,1,0,1,4,31,1,24,3,1.5884,12500,2418,2,2,2,3,0,3
1828,Molino-Umari,5,3,0,5,0,2,1,0,2,2,0,0,11,67,1,26,2,5,6000,1302,2,2,1,6,0,6
1830,Molino-Umari,4,2,0,4,0,2,1,0,1,1,0,0,6,32,1,26,1,2.3536,5750,279.00003,2,2,1,1,2,3
1831,Molino-Umari,6,3,0,6,0,3,1,0,1,1,0,0,7,30,1,35,1,1.25,3750,523.125,2,2,1,2,0,2
1832,Molino-Umari,4,3,0,4,0,2,1,0,1,2,0,0,3,26,1,18,1,0.88260001,3375,651,1,1,1,0,0,0
1833,Molino-Umari,5,1,0,5,0,1,3,0,1,1,0,0,6,31,2,26,1,2,1650,248,1,1,1,10,0,10
1839,Molino-Umari,5,2,0,5,0,2,1,0,2,0,0,1,5,73,1,32,3,0.88260001,3505,31,1,1,5,6,4,12
1840,Molino-Umari,8,2,0,8,0,2,1,0,1,2,0,1,4,33,1,34,2,0.2942,5010,0,1,1,5,9,0,9
1845,Molino-Umari,1,2,0,1,0,1,1,0,2,1,0,0,5,51,1,39,1,0.88260001,9000,1860,3,3,1,6,1,9
1846,Molino-Umari,2,2,0,2,0,1,1,0,2,0,0,0,7,50,1,41,1,0.88260001,7180,620,2,2,3,6,1,7
1847,Molino-Umari,3,2,0,3,0,1,1,0,2,0,0,0,9,49,4,45,1,1.471,1950,0,4,4,2,3,4,7
1848,Molino-Umari,6,2,0,6,0,3,1,0,0,1,0,0,7,39,1,39,2,1.5884,1200,186,2,2,1,9,2,11
1849,Molino-Umari,4,2,0,4,0,1,1,0,2,2,0,0,4,24,2,19,2,2,5100,523.125,2,2,3,3,1,6
1853,Molino-Umari,2,2,0,2,0,1,1,0,1,1,0,0,4,34,1,26,2,0.88260001,17250,2092.5,2,2,1,4,0,4
1854,Molino-Umari,5,2,0,5,0,1,5,0,1,3,0,0,5,57,0,20,1,1.1768,6300,465,3,1,1,4,1,5
1855,Molino-Umari,10,3,0,10,0,3,2,0,1,0,0,0,7,41,0,30,1,1.5,1925,46.5,1,1,2,6,3,11
1856,Molino-Umari,6,2,0,6,0,3,4,0,1,0,0,0,4,49,0,39,1,2.0883999,7875,930,2,2,1,5,3,8
1858,Molino-Umari,5,3,0,5,0,1,1,0,1,1,0,0,5,65,0,20,1,0.25,790,0,1,1,3,6,2,8
1859,Molino-Umari,1,1,0,1,0,1,1,0,1,1,0,0,5,27,1,26,3,0.88260001,5400,930,3,3,2,7,0,7
1862,Molino-Umari,3,2,0,3,0,1,1,0,0,0,0,0,6,46,0,43,2,0.88260001,4180,601.40002,2,2,3,10,0,10
1863,Molino-Umari,2,2,0,2,0,2,1,0,0,1,0,0,4,44,0,43,2,0.88260001,5100,744,2,2,2,6,0,6
1867,Huánuco-Quisqui,6,1,0,6,0,2,1,1,1,1,0,0,5,34,1,34,2,2,1212.8,10.601999,1,1,4,13,0,13
1868,Huánuco-Quisqui,4,2,0,4,0,2,1,0,1,3,0,0,5,38,0,34,2,1,800,37.200001,1,1,3,13,0,13
1871,Huánuco-Quisqui,3,2,0,3,0,3,1,0,1,1,0,0,3,31,0,31,1,2,6315,930,2,2,4,0,4,4
1872,Huánuco-Quisqui,4,2,0,4,0,1,1,0,1,3,0,0,4,30,1,22,1,0.58840001,3750,465,1,1,1,2,1,3
1877,Huánuco-Quisqui,2,2,0,2,0,3,1,0,1,2,0,0,3,48,0,46,1,4,2645,217,1,1,5,7,3,10
1878,Huánuco-Quisqui,3,4,0,3,0,4,1,1,1,2,1,0,4,50,0,26,2,1.0297,280,31,3,3,2,0,1,1
1879,Huánuco-Quisqui,4,3,0,4,0,3,1,0,1,1,0,0,4,40,1,32,1,3,16100,2092.5,3,3,4,9,5,14
1881,Huánuco-Quisqui,4,2,0,4,0,3,1,0,2,1,0,0,4,70,1,35,1,1.471,90,0,2,1,1,2,3,5
1882,Huánuco-Quisqui,1,1,0,1,0,1,1,0,1,1,0,0,5,57,1,32,1,1.1768,7600,1999.5,2,2,3,7,4,11
1884,Huánuco-Quisqui,8,4,2,7,0,1,5,0,1,1,0,0,5,77,2,34,2,4,5490,3695.2,1,1,4,9,3,14
1886,Huánuco-Quisqui,3,2,0,3,0,3,1,1,2,1,0,0,3,42,0,42,1,9,0,0,2,2,0,7,1,8
1888,Huánuco-Quisqui,3,2,0,3,0,1,1,0,1,0,0,1,2,50,0,45,2,1.8826001,1620,1424.76,2,1,2,8,2,10
1889,Huánuco-Quisqui,2,2,0,2,0,1,1,0,0,3,0,0,4,63,0,49,2,0.25,950,341,1,1,3,0,0,0
1892,Huánuco-Quisqui,2,2,0,2,0,3,1,0,1,4,0,0,3,25,1,25,1,3,2520,15.5,1,1,3,3,2,5
1894,Molino-Umari,2,2,0,2,0,1,1,0,1,1,0,0,5,54,0,48,1,2.0594001,1410.4,116.25,3,3,5,5,1,6
1895,Molino-Umari,3,1,0,3,0,1,1,0,0,4,0,1,5,38,2,21,2,0.5,3425,0,1,1,5,11,2,17
1896,Molino-Umari,3,1,0,3,0,3,2,0,1,1,0,0,8,40,1,41,1,2.5,9415,962.54999,2,2,6,5,1,6
1898,Molino-Umari,2,3,0,2,0,3,1,0,2,2,0,0,12,64,1,39,1,1.1768,2290,0,1,1,3,4,4,8
1899,Molino-Umari,1,2,0,1,0,1,1,0,2,2,0,0,9,43,0,42,1,1.471,11500,1548.45,3,3,5,7,6,13
1900,Molino-Umari,2,2,0,2,0,1,1,0,1,1,0,1,3,44,0,44,3,0.58840001,1685,0,2,2,2,6,0,6
1902,Molino-Umari,2,1,0,2,0,2,1,0,1,3,1,0,4,75,0,38,2,0.88260001,1500,220.875,1,1,1,0,3,3
1904,Molino-Umari,2,2,0,2,0,1,2,0,1,2,1,0,4,34,0,29,1,0.5,5625,314.95999,2,2,3,0,1,1
1908,Molino-Umari,1,1,0,1,0,1,1,0,1,3,0,0,3,24,1,20,2,0.2942,450,58.125,1,1,1,3,4,7
1909,Molino-Umari,2,1,0,2,0,1,1,0,1,1,0,0,5,41,2,38,1,0,0,0,1,1,0,8,0,10
1914,Molino-Umari,2,1,0,2,0,1,1,0,1,3,0,1,4,45,0,42,2,0.5,850,108.5,2,2,2,10,4,14
1917,Molino-Umari,7,2,0,7,0,2,1,0,1,1,0,0,5,50,0,48,2,0.73549998,13600,1077.25,2,2,5,7,1,10
1918,Molino-Umari,2,2,0,2,0,1,6,0,1,2,0,1,2,29,0,22,2,0.88260001,6095,838.54999,3,3,3,0,0,0
1919,Molino-Umari,2,2,0,2,0,1,1,1,1,2,0,0,2,42,0,42,1,0.73549998,9600,930,1,1,2,5,2,8
1927,Molino-Umari,4,2,0,4,0,2,1,0,2,1,0,0,6,32,2,30,1,0.2942,330,0,1,1,3,5,0,5
1933,Molino-Umari,7,2,0,7,0,1,1,0,2,1,0,0,9,46,2,43,1,1,800,232.5,1,1,2,8,5,13
1938,Molino-Umari,2,1,0,2,0,1,1,0,1,2,0,0,6,39,0,40,1,0.2942,800,1550,1,1,2,0,0,0
1944,Molino-Umari,10,3,0,10,0,4,6,0,1,1,0,0,2,48,0,43,1,0.4413,2300,627.75,2,1,2,3,1,4
1949,Molino-Umari,2,3,0,2,0,3,2,0,1,0,0,0,4,48,1,48,1,0.4413,1030,0,2,2,3,11,9,20
1950,Molino-Umari,1,6,0,1,0,1,1,0,1,0,0,1,4,34,0,30,2,0.22065,3750,209.25,2,2,1,6,4,12
1951,Molino-Umari,6,2,0,6,0,3,4,0,1,1,0,0,5,39,0,40,1,4,7425,688.20001,2,2,6,10,9,21
1952,Molino-Umari,4,2,0,4,0,1,1,0,2,1,1,1,4,44,1,43,2,0.375,4000,244.12502,2,2,2,9,4,13
1953,Molino-Umari,4,7,0,4,0,3,1,0,1,1,0,0,3,26,1,23,1,0.4413,9750,1162.5,2,2,1,6,4,10
1957,Molino-Umari,3,2,0,3,0,3,6,0,1,1,0,0,8,38,2,29,1,0.4413,566.5,0,2,2,4,9,0,9
1958,Molino-Umari,10,3,0,10,0,3,6,1,1,1,0,0,5,37,0,37,1,0.58840001,11250,910.625,2,2,4,7,1,8
1960,Molino-Umari,6,2,0,6,0,3,1,0,1,1,0,0,4,42,1,38,1,0.58840001,7500,744,1,1,1,6,3,9
1961,Molino-Umari,8,2,0,8,0,1,1,0,1,1,0,0,5,43,2,43,1,0.4413,3140,279,1,1,3,7,4,11
1965,Molino-Umari,8,4,0,8,0,3,1,1,1,1,1,1,3,27,0,27,3,0,0,0,1,1,0,11,0,11
1968,Molino-Umari,2,1,0,2,0,1,1,0,1,1,0,1,2,31,0,32,2,0.125,515,0,1,1,3,0,0,0
1995,Huánuco-Quisqui,1,1,0,1,0,1,1,1,1,2,0,0,8,42,2,42,2,2,8500,3224,1,1,5,7,10,17
