region,n_species,n_ecosystems,Sell,autoconsumption,O_uses,n_preparations,n_Agr_pract,headsex,elcsa_cat,edu,assistance,nonaginc,hhsize,headage,numchildren,age,num_emp,area,ch,ced,l_fields,m_fields,cd_field,cd_garden,cd_tree,cd_gardentree
1185,Huánuco-Quisqui,5,2,0,5,0,2,1,0,1,1,0,0,4,53,0,45,1,1.7652,255,0,2,2,4,14,2,16
1201,Huánuco-Quisqui,5,2,0,5,0,2,1,0,2,1,0,0,7,44,1,41,1,0.88260001,1225,496,1,1,4,14,1,15
1203,Huánuco-Quisqui,4,1,0,4,0,2,1,0,2,0,0,0,5,53,0,44,1,2.3536,200,0,3,2,1,6,0,8
1206,Huánuco-Quisqui,3,4,0,3,0,2,1,0,1,2,0,1,5,66,0,47,1,0.5,235,0,1,1,3,0,1,1
1207,Huánuco-Quisqui,4,2,0,4,0,1,1,0,2,2,0,0,4,25,2,22,1,0.88260001,2435,465,3,3,4,6,0,6
1209,Huánuco-Quisqui,9,3,0,9,0,3,2,0,1,1,0,1,5,40,0,37,3,0.4413,480,12.4,2,2,2,10,1,17
1210,Huánuco-Quisqui,7,2,0,7,0,2,1,0,1,1,0,0,8,54,2,48,1,1.07355,2260,174.375,2,2,4,6,3,10
1211,Huánuco-Quisqui,5,2,0,5,0,3,1,0,0,1,0,0,4,27,0,24,2,2.2941999,3970,465,2,2,3,6,0,6
1214,Huánuco-Quisqui,4,3,0,4,0,2,1,0,1,1,1,0,5,47,0,45,4,0.5442,2470,93,3,3,3,10,0,10
1218,Huánuco-Quisqui,3,3,0,3,0,4,1,1,1,1,0,0,5,37,2,37,1,0.2942,200,31,1,1,1,4,0,4
1219,Huánuco-Quisqui,4,5,0,4,0,1,1,0,2,3,0,0,9,52,0,28,1,0.75,2250,104.625,2,1,1,0,2,2
1221,Huánuco-Quisqui,1,3,0,1,0,1,1,0,0,4,0,1,3,29,1,23,2,0.125,4500,581.25,1,1,1,0,0,0
1223,Huánuco-Quisqui,3,5,0,3,0,5,1,0,1,3,0,0,5,58,1,19,1,2.2941999,9175,678.90002,3,3,3,5,1,6
1224,Huánuco-Quisqui,2,2,0,2,0,3,1,0,1,1,1,0,5,40,1,38,1,0.58840001,3400,279.00003,2,1,1,7,2,9
1227,Huánuco-Quisqui,3,1,0,3,0,3,1,1,2,4,0,0,9,33,1,25,3,6.5,45000,11160,2,2,1,0,0,0
1229,Huánuco-Quisqui,5,2,0,5,0,3,1,0,2,1,0,0,4,60,0,44,1,2.1471,9000,2325,3,3,1,0,0,0
1235,Huánuco-Quisqui,4,3,0,4,0,3,1,0,1,1,0,0,4,48,0,44,1,1,242,0,1,1,2,0,0,0
1238,Huánuco-Quisqui,2,2,0,2,0,2,1,0,1,1,0,0,4,40,0,43,1,0.2942,560,89.900002,2,2,2,5,0,5
1240,Huánuco-Quisqui,2,1,0,2,0,2,1,0,1,2,0,0,7,37,2,35,1,10,1515,0,1,1,5,0,0,0
1241,Huánuco-Quisqui,3,1,0,3,0,1,1,1,1,3,0,0,3,35,0,35,2,31.471001,3450,434,4,3,3,4,1,5
1242,Huánuco-Quisqui,9,2,0,9,0,5,1,0,0,1,0,1,5,56,0,49,2,4.2941999,21487.5,7630.6499,4,4,1,0,4,4
1243,Huánuco-Quisqui,5,2,0,5,0,2,1,0,1,1,0,0,4,54,0,47,1,5,16956,3371.2502,3,3,6,7,3,10
1245,Huánuco-Quisqui,3,1,0,3,0,2,1,0,1,2,1,0,5,43,1,41,2,1.5,3025,0.62,2,1,4,0,0,0
1247,Huánuco-Quisqui,3,2,0,3,0,2,1,0,2,3,0,1,5,35,1,30,2,0.88260001,1050,93,2,2,1,0,2,2
1248,Huánuco-Quisqui,9,2,0,9,0,3,1,0,1,1,0,1,10,43,2,42,2,3.5883999,3085,410.75,3,2,5,3,1,4
1250,Huánuco-Quisqui,2,2,0,2,0,1,1,1,1,1,0,0,4,59,2,24,1,9.2941999,999,0,4,2,2,16,2,18
1256,Huánuco-Quisqui,4,4,0,4,0,3,1,0,1,1,0,0,5,43,1,43,1,2.5,16550,2356,2,2,4,6,1,7
1258,Huánuco-Quisqui,11,2,0,11,0,1,3,1,2,2,0,0,5,39,1,39,1,0.58840001,2250,1209,1,1,1,0,0,0
1259,Huánuco-Quisqui,6,2,1,6,0,2,2,0,2,0,0,0,9,49,2,47,1,10,3983,383.935,3,1,10,6,0,6
1260,Huánuco-Quisqui,2,1,0,2,0,4,1,0,1,0,1,0,5,71,0,39,1,5,0,0,1,1,0,3,0,3
1261,Huánuco-Quisqui,8,3,0,8,0,3,1,0,1,3,0,0,6,48,0,48,2,0.58840001,825,609.15002,1,1,3,2,0,2
1262,Huánuco-Quisqui,8,3,0,8,0,3,1,0,0,1,0,0,6,47,0,43,1,7,5215.5,1727.9399,2,2,5,6,0,6
1263,Huánuco-Quisqui,5,2,0,5,0,3,1,0,1,1,0,0,6,41,2,44,1,2,5800,1178,1,1,3,6,0,8
1265,Huánuco-Quisqui,4,2,0,4,1,1,1,0,1,3,0,0,5,43,0,37,1,5,750,0,2,2,1,0,2,2
1266,Huánuco-Quisqui,1,3,0,1,0,1,1,0,1,2,0,0,3,50,0,49,1,1.471,2300,46.5,5,5,3,3,0,3
1268,Huánuco-Quisqui,4,2,0,4,0,1,1,0,1,1,1,1,4,27,1,24,3,1,3750,581.25,2,1,1,7,0,7
1273,Huánuco-Quisqui,7,2,0,7,0,2,1,0,1,0,0,0,4,30,1,37,1,0.58840001,7500,1488,1,1,1,11,1,12
1274,Huánuco-Quisqui,7,2,0,7,0,2,1,0,1,3,0,0,4,32,2,22,1,1,3200,759.5,1,1,2,9,0,9
1275,Huánuco-Quisqui,7,2,0,7,0,4,1,0,2,1,0,0,2,39,0,49,2,5,7585,453.065,2,2,7,5,0,5
1283,Amarilis,1,1,0,1,0,2,1,0,1,4,0,1,5,47,2,47,2,0.2942,0,0,1,1,1,3,1,4
1285,Amarilis,1,2,0,1,0,2,3,0,1,4,0,1,8,45,1,42,2,4,2500,0,1,1,3,10,9,23
1295,Amarilis,3,5,0,3,0,3,1,0,2,2,0,1,8,47,1,41,2,4,2450,465,2,2,2,3,2,5
1296,Amarilis,1,1,0,1,0,1,1,0,1,3,0,1,4,32,1,29,2,2,11550,2697,2,2,2,0,2,2
1297,Amarilis,4,1,0,4,0,1,1,0,1,2,0,0,3,47,0,38,2,1,1550,341,1,1,3,12,0,12
1298,Amarilis,5,1,0,5,0,3,1,0,1,1,0,0,5,31,1,39,1,5.5,1205,32.549999,2,2,3,0,2,2
1302,Amarilis,1,1,0,1,0,1,1,0,1,2,0,0,4,40,1,40,1,2,1500,186,1,1,1,0,0,0
1303,Amarilis,1,1,0,1,0,1,1,0,3,1,0,1,7,42,1,41,3,6,9850,488.25,2,2,4,5,2,7
1305,Amarilis,1,3,0,1,0,1,1,0,1,0,0,0,4,55,0,42,1,2.2941999,250,0,2,2,1,0,0,0
1306,Amarilis,1,2,0,1,0,1,5,0,1,1,0,1,5,44,2,36,2,2.3536,830,148.8,2,2,3,0,0,0
1307,Amarilis,4,2,0,4,0,3,1,0,1,2,0,0,5,42,0,42,1,1.7652,688,100.43999,1,1,2,9,3,14
1313,Amarilis,1,1,0,1,0,2,1,0,1,3,0,1,6,40,0,40,2,4,2200,62,2,2,3,5,5,10
1326,Amarilis,7,1,0,7,0,3,1,1,1,2,0,1,5,37,1,37,1,0.029999999,0,0,1,1,0,1,4,6
1332,Amarilis,1,1,0,1,0,1,1,0,0,4,0,1,7,52,1,30,3,0.5,230,23.25,2,2,2,0,8,8
1333,Amarilis,2,2,0,2,0,1,1,0,1,4,1,1,5,31,1,32,3,0.58840001,400,80.599998,1,1,2,0,0,0
1334,Amarilis,2,2,0,2,0,2,1,0,2,0,0,0,6,48,1,47,2,0.2942,310,0,1,1,2,4,0,4
1335,Amarilis,3,2,0,3,0,3,1,0,1,0,0,1,6,62,1,44,2,0.1471,0,0,1,1,0,9,0,11
1339,Amarilis,1,1,0,1,0,1,1,0,2,1,0,0,8,63,2,38,1,0.2942,225,27.9,1,1,1,0,5,5
1345,Amarilis,1,1,0,1,0,1,1,0,1,4,0,1,7,68,3,24,2,0.0099999998,2.0999999,0,1,1,1,9,3,14
1366,Amarilis,2,1,0,2,0,1,1,0,2,1,0,0,6,36,1,32,1,0.58840001,1800,310,2,2,1,0,0,0
1367,Amarilis,1,1,0,1,0,2,1,0,1,3,0,1,10,45,3,19,2,0.5,46,0,1,1,1,6,10,16
1368,Amarilis,2,1,0,2,0,4,1,1,1,0,0,1,6,39,1,39,2,4,0,0,1,1,0,3,5,8
1369,Amarilis,1,1,0,1,0,1,1,0,0,2,0,0,3,30,0,25,2,1,770,0,1,1,3,7,3,10
1370,Amarilis,2,2,0,2,0,3,1,0,1,4,0,0,3,25,1,19,1,0.88260001,1800,279.31,1,1,2,0,2,2
1374,Amarilis,1,1,0,1,0,1,1,0,1,0,0,1,3,45,0,42,2,0.58840001,1525,0,2,2,5,3,4,7
1378,Amarilis,3,2,0,3,0,3,8,0,2,1,0,0,5,39,1,28,1,1.5,0,0,1,1,0,3,1,4
1380,Amarilis,3,1,0,3,0,3,2,0,1,2,1,1,4,56,0,26,3,0.3125,350,279,2,1,2,6,0,6
1393,Amarilis,3,1,0,3,0,3,1,0,3,1,0,0,6,45,2,26,1,1,241,0,1,1,2,0,1,1
1394,Amarilis,2,2,0,2,0,3,3,0,1,1,0,1,5,52,1,41,2,1.5884,564.20001,0,2,1,3,0,0,0
1401,Amarilis,1,1,0,1,0,1,1,0,1,4,0,1,4,62,0,20,2,1.0076001,3134.25,716.09998,3,3,6,8,1,10
1405,Amarilis,3,3,0,3,0,3,1,0,1,1,0,1,4,38,0,38,2,2.5,7133,581.25,2,2,3,5,0,5
1408,Amarilis,2,3,0,2,0,1,2,0,1,2,0,1,3,50,0,35,2,0.2942,4000,173.60001,2,2,5,4,2,8
1413,Amarilis,2,3,0,2,0,1,1,1,3,3,0,0,5,54,0,18,1,0.4413,200,0,3,3,1,3,3,6
1416,Amarilis,3,3,0,3,0,3,1,0,1,0,0,0,4,41,1,36,1,0.875,7630,1350.05,3,3,8,5,0,5
1419,Amarilis,1,1,0,1,0,1,1,0,1,0,0,1,5,35,1,36,2,1.471,740,0,2,1,3,1,0,1
1420,Amarilis,2,2,0,2,0,2,1,0,2,4,0,1,6,76,2,22,2,0.2942,450,65.099998,1,1,2,5,4,9
1422,Amarilis,1,2,0,1,0,1,1,0,3,2,0,0,3,31,0,40,2,0.2942,600,0,1,1,1,0,4,4
1428,Amarilis,6,3,1,6,0,4,1,0,1,1,0,1,6,48,2,49,2,2.2652001,837,301.28082,5,5,4,5,3,8
1429,Amarilis,1,1,1,1,0,4,1,0,0,4,0,1,3,26,0,22,3,0.58840001,475,104.625,1,1,3,0,0,0
