region,n_species,n_ecosystems,Sell,autoconsumption,O_uses,n_preparations,n_Agr_pract,headsex,elcsa_cat,edu,assistance,nonaginc,hhsize,age,wealthindex,num_emp,inc,area,l_fields,m_fields,cd_field,cd_garden,cd_tree,cd_gardentree
1185,Huánuco-Quisqui,5,2,0,5,0,2,1,0,1,1,0,0,4,45,-0.85562861,1,200,1.7652,2,2,4,14,2,16
1201,Huánuco-Quisqui,5,2,0,5,0,2,1,0,2,1,0,0,7,41,-0.90965116,1,500,0.88260001,1,1,4,14,1,15
1203,Huánuco-Quisqui,4,1,0,4,0,2,1,0,2,0,0,0,5,44,-0.98190886,1,500,2.3536,3,2,1,6,0,8
1206,Huánuco-Quisqui,3,4,0,3,0,2,1,0,1,2,0,1,5,47,-0.21136159,1,200,0.5,1,1,3,0,1,1
1207,Huánuco-Quisqui,4,2,0,4,0,1,1,0,2,2,0,0,4,22,-0.84666818,1,400,0.88260001,3,3,4,6,0,6
1209,Huánuco-Quisqui,9,3,0,9,0,3,2,0,1,1,0,1,5,37,-0.90965116,3,1170,0.4413,2,2,2,10,1,17
1211,Huánuco-Quisqui,5,2,0,5,0,3,1,0,0,1,0,0,4,24,0.37550041,2,260,2.2941999,2,2,3,6,0,6
1214,Huánuco-Quisqui,4,3,0,4,0,2,1,0,1,1,1,0,5,45,0.11375385,4,640,0.5442,3,3,3,10,0,10
1218,Huánuco-Quisqui,3,3,0,3,0,4,1,1,1,1,0,0,5,37,-0.90965116,1,1000,0.2942,1,1,1,4,0,4
1219,Huánuco-Quisqui,4,5,0,4,0,1,1,0,2,3,0,0,9,28,-0.10407622,1,1000,0.75,2,1,1,0,2,2
1221,Huánuco-Quisqui,1,3,0,1,0,1,1,0,0,4,0,1,3,23,-0.10407622,2,4500,0.125,1,1,1,0,0,0
1223,Huánuco-Quisqui,3,5,0,3,0,5,1,0,1,3,0,0,5,19,0.21351638,1,500,2.2941999,3,3,3,5,1,6
1224,Huánuco-Quisqui,2,2,0,2,0,3,1,0,1,1,1,0,5,38,-0.34676802,1,200,0.58840001,2,1,1,7,2,9
1227,Huánuco-Quisqui,3,1,0,3,0,3,1,1,2,4,0,0,9,25,0.26770571,3,23000,6.5,2,2,1,0,0,0
1229,Huánuco-Quisqui,5,2,0,5,0,3,1,0,2,1,0,0,4,44,-0.72879684,1,900,2.1471,3,3,1,0,0,0
1235,Huánuco-Quisqui,4,3,0,4,0,3,1,0,1,1,0,0,4,44,-0.90965116,1,500,1,1,1,2,0,0,0
1238,Huánuco-Quisqui,2,2,0,2,0,2,1,0,1,1,0,0,4,43,-0.77441043,1,2000,0.2942,2,2,2,5,0,5
1240,Huánuco-Quisqui,2,1,0,2,0,2,1,0,1,2,0,0,7,35,-0.84666818,1,100,10,1,1,5,0,0,0
1241,Huánuco-Quisqui,3,1,0,3,0,1,1,1,1,3,0,0,3,35,-0.18535681,2,800,31.471001,4,3,3,4,1,5
1242,Huánuco-Quisqui,9,2,0,9,0,5,1,0,0,1,0,1,5,49,0.65244997,2,2500,4.2941999,4,4,1,0,4,4
1243,Huánuco-Quisqui,5,2,0,5,0,2,1,0,1,1,0,0,4,47,-0.68829262,1,12000,5,3,3,6,7,3,10
1245,Huánuco-Quisqui,3,1,0,3,0,2,1,0,1,2,1,0,5,41,-0.068504699,2,600,1.5,2,1,4,0,0,0
1247,Huánuco-Quisqui,3,2,0,3,0,2,1,0,2,3,0,1,5,30,-0.52129841,2,2350,0.88260001,2,2,1,0,2,2
1248,Huánuco-Quisqui,9,2,0,9,0,3,1,0,1,1,0,1,10,42,-0.68829262,2,2000,3.5883999,3,2,5,3,1,4
1249,Huánuco-Quisqui,11,3,0,11,0,4,2,0,1,1,0,0,5,41,-0.65653908,2,220,0.58840001,2,2,1,4,2,6
1250,Huánuco-Quisqui,2,2,0,2,0,1,1,1,1,1,0,0,4,24,-0.59355611,1,828,9.2941999,4,2,2,16,2,18
1256,Huánuco-Quisqui,4,4,0,4,0,3,1,0,1,1,0,0,5,43,-0.52129841,1,6000,2.5,2,2,4,6,1,7
1258,Huánuco-Quisqui,11,2,0,11,0,1,3,1,2,2,0,0,5,39,-0.72879684,1,150,0.58840001,1,1,1,0,0,0
1259,Huánuco-Quisqui,6,2,1,6,0,2,2,0,2,0,0,0,9,47,-0.84666818,1,2000,10,3,1,10,6,0,6
1260,Huánuco-Quisqui,2,1,0,2,0,4,1,0,1,0,1,0,5,39,-0.77441043,1,4000,5,1,1,0,3,0,3
1261,Huánuco-Quisqui,8,3,0,8,0,3,1,0,1,3,0,0,6,48,-0.77441043,2,1500,0.58840001,1,1,3,2,0,2
1262,Huánuco-Quisqui,8,3,0,8,0,3,1,0,0,1,0,0,6,43,0.003753016,1,5000,7,2,2,5,6,0,6
1263,Huánuco-Quisqui,5,2,0,5,0,3,1,0,1,1,0,0,6,44,-0.65653908,1,1000,2,1,1,3,6,0,8
1265,Huánuco-Quisqui,4,2,0,4,1,1,1,0,1,3,0,0,5,37,-0.90965116,1,1000,5,2,2,1,0,2,2
1266,Huánuco-Quisqui,1,3,0,1,0,1,1,0,1,2,0,0,3,49,0.65244997,1,2500,1.471,5,5,3,3,0,3
1268,Huánuco-Quisqui,4,2,0,4,0,1,1,0,1,1,1,1,4,24,-0.29419109,3,9500,1,2,1,1,7,0,7
1273,Huánuco-Quisqui,7,2,0,7,0,2,1,0,1,0,0,0,4,37,-0.34676802,1,5000,0.58840001,1,1,1,11,1,12
